# Generated high-coverage adjacent 4-pack patterns.
# Do not hand-edit unless you intend to freeze a modified grid.
# Format: PAIR id width height row group0 mask0 mask1
#         TRIPLE id width height row group0 mask0 mask1 mask2
# Masks are 0..15 (bit3=pos0 ... bit0=pos3). Width is always a multiple of 4.
#
# Placement:
#   pair_L  groups 0-1 on W=16 (left edge)
#   pair_M  groups 1-2 on W=16 (has empty neighbors)
#   pair_R  groups 2-3 on W=16 (right edge)
#   triple  groups 0-1-2 on W=12

PAIR p_R_1_3 16 3 1 2 1 3
PAIR p_L_1_4 16 3 1 0 1 4
PAIR p_M_1_4 16 3 1 1 1 4
PAIR p_R_1_4 16 3 1 2 1 4
PAIR p_L_1_5 16 3 1 0 1 5
PAIR p_M_1_5 16 3 1 1 1 5
PAIR p_R_1_5 16 3 1 2 1 5
PAIR p_L_1_6 16 3 1 0 1 6
PAIR p_M_1_6 16 3 1 1 1 6
PAIR p_R_1_6 16 3 1 2 1 6
PAIR p_L_1_7 16 3 1 0 1 7
PAIR p_M_1_7 16 3 1 1 1 7
PAIR p_R_1_7 16 3 1 2 1 7
PAIR p_L_1_8 16 3 1 0 1 8
PAIR p_M_1_8 16 3 1 1 1 8
PAIR p_R_1_8 16 3 1 2 1 8
PAIR p_L_1_9 16 3 1 0 1 9
PAIR p_M_1_9 16 3 1 1 1 9
PAIR p_R_1_9 16 3 1 2 1 9
PAIR p_L_1_10 16 3 1 0 1 10
PAIR p_M_1_10 16 3 1 1 1 10
PAIR p_R_1_10 16 3 1 2 1 10
PAIR p_L_1_11 16 3 1 0 1 11
PAIR p_M_1_11 16 3 1 1 1 11
PAIR p_R_1_11 16 3 1 2 1 11
PAIR p_L_1_12 16 3 1 0 1 12
PAIR p_M_1_12 16 3 1 1 1 12
PAIR p_R_1_12 16 3 1 2 1 12
PAIR p_L_1_13 16 3 1 0 1 13
PAIR p_M_1_13 16 3 1 1 1 13
PAIR p_R_1_13 16 3 1 2 1 13
PAIR p_L_1_14 16 3 1 0 1 14
PAIR p_M_1_14 16 3 1 1 1 14
PAIR p_R_1_14 16 3 1 2 1 14
PAIR p_L_1_15 16 3 1 0 1 15
PAIR p_M_1_15 16 3 1 1 1 15
PAIR p_R_1_15 16 3 1 2 1 15
PAIR p_L_2_0 16 3 1 0 2 0
PAIR p_M_2_0 16 3 1 1 2 0
PAIR p_R_2_0 16 3 1 2 2 0
PAIR p_L_2_1 16 3 1 0 2 1
PAIR p_M_2_1 16 3 1 1 2 1
PAIR p_R_2_1 16 3 1 2 2 1
PAIR p_L_2_2 16 3 1 0 2 2
PAIR p_M_2_2 16 3 1 1 2 2
PAIR p_R_2_2 16 3 1 2 2 2
PAIR p_L_2_3 16 3 1 0 2 3
PAIR p_M_2_3 16 3 1 1 2 3
PAIR p_R_2_3 16 3 1 2 2 3
PAIR p_L_2_4 16 3 1 0 2 4
PAIR p_M_2_4 16 3 1 1 2 4
PAIR p_R_2_4 16 3 1 2 2 4
PAIR p_L_2_5 16 3 1 0 2 5
PAIR p_M_2_5 16 3 1 1 2 5
PAIR p_R_2_5 16 3 1 2 2 5
PAIR p_L_2_6 16 3 1 0 2 6
PAIR p_M_2_6 16 3 1 1 2 6
PAIR p_R_2_6 16 3 1 2 2 6
PAIR p_L_2_7 16 3 1 0 2 7
PAIR p_M_2_7 16 3 1 1 2 7
PAIR p_R_2_7 16 3 1 2 2 7
PAIR p_L_2_8 16 3 1 0 2 8
PAIR p_M_2_8 16 3 1 1 2 8
PAIR p_R_2_8 16 3 1 2 2 8
PAIR p_L_2_9 16 3 1 0 2 9
PAIR p_M_2_9 16 3 1 1 2 9
PAIR p_R_2_9 16 3 1 2 2 9
PAIR p_L_2_10 16 3 1 0 2 10
PAIR p_M_2_10 16 3 1 1 2 10
PAIR p_R_2_10 16 3 1 2 2 10
PAIR p_L_2_11 16 3 1 0 2 11
PAIR p_M_2_11 16 3 1 1 2 11
PAIR p_R_2_11 16 3 1 2 2 11
PAIR p_L_2_12 16 3 1 0 2 12
PAIR p_M_2_12 16 3 1 1 2 12
PAIR p_R_2_12 16 3 1 2 2 12
PAIR p_L_2_13 16 3 1 0 2 13
PAIR p_M_2_13 16 3 1 1 2 13
PAIR p_R_2_13 16 3 1 2 2 13
PAIR p_L_2_14 16 3 1 0 2 14
PAIR p_M_2_14 16 3 1 1 2 14
PAIR p_R_2_14 16 3 1 2 2 14
PAIR p_L_2_15 16 3 1 0 2 15
PAIR p_M_2_15 16 3 1 1 2 15
PAIR p_R_2_15 16 3 1 2 2 15
PAIR p_L_3_0 16 3 1 0 3 0
PAIR p_M_3_0 16 3 1 1 3 0
PAIR p_R_3_0 16 3 1 2 3 0
PAIR p_L_3_1 16 3 1 0 3 1
PAIR p_M_3_1 16 3 1 1 3 1
PAIR p_R_3_1 16 3 1 2 3 1
PAIR p_L_3_2 16 3 1 0 3 2
PAIR p_M_3_2 16 3 1 1 3 2
PAIR p_R_3_2 16 3 1 2 3 2
PAIR p_L_3_3 16 3 1 0 3 3
PAIR p_M_3_3 16 3 1 1 3 3
PAIR p_R_3_3 16 3 1 2 3 3
PAIR p_L_3_4 16 3 1 0 3 4
PAIR p_M_3_4 16 3 1 1 3 4
PAIR p_R_3_4 16 3 1 2 3 4
PAIR p_L_3_5 16 3 1 0 3 5
PAIR p_M_3_5 16 3 1 1 3 5
PAIR p_R_3_5 16 3 1 2 3 5
PAIR p_L_3_6 16 3 1 0 3 6
PAIR p_M_3_6 16 3 1 1 3 6
PAIR p_R_3_6 16 3 1 2 3 6
PAIR p_L_3_7 16 3 1 0 3 7
PAIR p_M_3_7 16 3 1 1 3 7
PAIR p_R_3_7 16 3 1 2 3 7
PAIR p_L_3_8 16 3 1 0 3 8
PAIR p_M_3_8 16 3 1 1 3 8
PAIR p_R_3_8 16 3 1 2 3 8
PAIR p_L_3_9 16 3 1 0 3 9
PAIR p_M_3_9 16 3 1 1 3 9
PAIR p_R_3_9 16 3 1 2 3 9
PAIR p_L_3_10 16 3 1 0 3 10
PAIR p_M_3_10 16 3 1 1 3 10
PAIR p_R_3_10 16 3 1 2 3 10
PAIR p_L_3_11 16 3 1 0 3 11
PAIR p_M_3_11 16 3 1 1 3 11
PAIR p_R_3_11 16 3 1 2 3 11
PAIR p_L_3_12 16 3 1 0 3 12
PAIR p_M_3_12 16 3 1 1 3 12
PAIR p_R_3_12 16 3 1 2 3 12
PAIR p_L_3_13 16 3 1 0 3 13
PAIR p_M_3_13 16 3 1 1 3 13
PAIR p_R_3_13 16 3 1 2 3 13
PAIR p_L_3_14 16 3 1 0 3 14
PAIR p_M_3_14 16 3 1 1 3 14
PAIR p_R_3_14 16 3 1 2 3 14
PAIR p_L_3_15 16 3 1 0 3 15
PAIR p_M_3_15 16 3 1 1 3 15
PAIR p_R_3_15 16 3 1 2 3 15
PAIR p_L_4_0 16 3 1 0 4 0
PAIR p_M_4_0 16 3 1 1 4 0
PAIR p_R_4_0 16 3 1 2 4 0
PAIR p_L_4_1 16 3 1 0 4 1
PAIR p_M_4_1 16 3 1 1 4 1
PAIR p_R_4_1 16 3 1 2 4 1
PAIR p_L_4_2 16 3 1 0 4 2
PAIR p_M_4_2 16 3 1 1 4 2
PAIR p_R_4_2 16 3 1 2 4 2
PAIR p_L_4_3 16 3 1 0 4 3
PAIR p_M_4_3 16 3 1 1 4 3
PAIR p_R_4_3 16 3 1 2 4 3
PAIR p_L_4_4 16 3 1 0 4 4
PAIR p_M_4_4 16 3 1 1 4 4
PAIR p_R_4_4 16 3 1 2 4 4
PAIR p_L_4_5 16 3 1 0 4 5
PAIR p_M_4_5 16 3 1 1 4 5
PAIR p_R_4_5 16 3 1 2 4 5
PAIR p_L_4_6 16 3 1 0 4 6
PAIR p_M_4_6 16 3 1 1 4 6
PAIR p_R_4_6 16 3 1 2 4 6
PAIR p_L_4_7 16 3 1 0 4 7
PAIR p_M_4_7 16 3 1 1 4 7
PAIR p_R_4_7 16 3 1 2 4 7
PAIR p_L_4_8 16 3 1 0 4 8
PAIR p_M_4_8 16 3 1 1 4 8
PAIR p_R_4_8 16 3 1 2 4 8
PAIR p_L_4_9 16 3 1 0 4 9
PAIR p_M_4_9 16 3 1 1 4 9
PAIR p_R_4_9 16 3 1 2 4 9
PAIR p_L_4_10 16 3 1 0 4 10
PAIR p_M_4_10 16 3 1 1 4 10
PAIR p_R_4_10 16 3 1 2 4 10
PAIR p_L_4_11 16 3 1 0 4 11
PAIR p_M_4_11 16 3 1 1 4 11
PAIR p_R_4_11 16 3 1 2 4 11
PAIR p_L_4_12 16 3 1 0 4 12
PAIR p_M_4_12 16 3 1 1 4 12
PAIR p_R_4_12 16 3 1 2 4 12
PAIR p_L_4_13 16 3 1 0 4 13
PAIR p_M_4_13 16 3 1 1 4 13
PAIR p_R_4_13 16 3 1 2 4 13
PAIR p_L_4_14 16 3 1 0 4 14
PAIR p_M_4_14 16 3 1 1 4 14
PAIR p_R_4_14 16 3 1 2 4 14
PAIR p_L_4_15 16 3 1 0 4 15
PAIR p_M_4_15 16 3 1 1 4 15
PAIR p_R_4_15 16 3 1 2 4 15
PAIR p_L_5_0 16 3 1 0 5 0
PAIR p_M_5_0 16 3 1 1 5 0
PAIR p_R_5_0 16 3 1 2 5 0
PAIR p_L_5_1 16 3 1 0 5 1
PAIR p_M_5_1 16 3 1 1 5 1
PAIR p_R_5_1 16 3 1 2 5 1
PAIR p_L_5_2 16 3 1 0 5 2
PAIR p_M_5_2 16 3 1 1 5 2
PAIR p_R_5_2 16 3 1 2 5 2
PAIR p_L_5_3 16 3 1 0 5 3
PAIR p_M_5_3 16 3 1 1 5 3
PAIR p_R_5_3 16 3 1 2 5 3
PAIR p_L_5_4 16 3 1 0 5 4
PAIR p_M_5_4 16 3 1 1 5 4
PAIR p_R_5_4 16 3 1 2 5 4
PAIR p_L_5_5 16 3 1 0 5 5
PAIR p_M_5_5 16 3 1 1 5 5
PAIR p_R_5_5 16 3 1 2 5 5
PAIR p_L_5_6 16 3 1 0 5 6
PAIR p_M_5_6 16 3 1 1 5 6
PAIR p_R_5_6 16 3 1 2 5 6
PAIR p_L_5_7 16 3 1 0 5 7
PAIR p_M_5_7 16 3 1 1 5 7
PAIR p_R_5_7 16 3 1 2 5 7
PAIR p_L_5_8 16 3 1 0 5 8
PAIR p_M_5_8 16 3 1 1 5 8
PAIR p_R_5_8 16 3 1 2 5 8
PAIR p_L_5_9 16 3 1 0 5 9
PAIR p_M_5_9 16 3 1 1 5 9
PAIR p_R_5_9 16 3 1 2 5 9
PAIR p_L_5_10 16 3 1 0 5 10
PAIR p_M_5_10 16 3 1 1 5 10
PAIR p_R_5_10 16 3 1 2 5 10
PAIR p_L_5_11 16 3 1 0 5 11
PAIR p_M_5_11 16 3 1 1 5 11
PAIR p_R_5_11 16 3 1 2 5 11
PAIR p_L_5_12 16 3 1 0 5 12
PAIR p_M_5_12 16 3 1 1 5 12
PAIR p_R_5_12 16 3 1 2 5 12
PAIR p_L_5_13 16 3 1 0 5 13
PAIR p_M_5_13 16 3 1 1 5 13
PAIR p_R_5_13 16 3 1 2 5 13
PAIR p_L_5_14 16 3 1 0 5 14
PAIR p_M_5_14 16 3 1 1 5 14
PAIR p_R_5_14 16 3 1 2 5 14
PAIR p_L_5_15 16 3 1 0 5 15
PAIR p_M_5_15 16 3 1 1 5 15
PAIR p_R_5_15 16 3 1 2 5 15
PAIR p_L_6_0 16 3 1 0 6 0
PAIR p_M_6_0 16 3 1 1 6 0
PAIR p_R_6_0 16 3 1 2 6 0
PAIR p_L_6_1 16 3 1 0 6 1
PAIR p_M_6_1 16 3 1 1 6 1
PAIR p_R_6_1 16 3 1 2 6 1
PAIR p_L_6_2 16 3 1 0 6 2
PAIR p_M_6_2 16 3 1 1 6 2
PAIR p_R_6_2 16 3 1 2 6 2
PAIR p_L_6_3 16 3 1 0 6 3
PAIR p_M_6_3 16 3 1 1 6 3
PAIR p_R_6_3 16 3 1 2 6 3
PAIR p_L_6_4 16 3 1 0 6 4
PAIR p_M_6_4 16 3 1 1 6 4
PAIR p_R_6_4 16 3 1 2 6 4
PAIR p_L_6_5 16 3 1 0 6 5
PAIR p_M_6_5 16 3 1 1 6 5
PAIR p_R_6_5 16 3 1 2 6 5
PAIR p_L_6_6 16 3 1 0 6 6
PAIR p_M_6_6 16 3 1 1 6 6
PAIR p_R_6_6 16 3 1 2 6 6
PAIR p_L_6_7 16 3 1 0 6 7
PAIR p_M_6_7 16 3 1 1 6 7
PAIR p_R_6_7 16 3 1 2 6 7
PAIR p_L_6_8 16 3 1 0 6 8
PAIR p_M_6_8 16 3 1 1 6 8
PAIR p_R_6_8 16 3 1 2 6 8
PAIR p_L_6_9 16 3 1 0 6 9
PAIR p_M_6_9 16 3 1 1 6 9
PAIR p_R_6_9 16 3 1 2 6 9
PAIR p_L_6_10 16 3 1 0 6 10
PAIR p_M_6_10 16 3 1 1 6 10
PAIR p_R_6_10 16 3 1 2 6 10
PAIR p_L_6_11 16 3 1 0 6 11
PAIR p_M_6_11 16 3 1 1 6 11
PAIR p_R_6_11 16 3 1 2 6 11
PAIR p_L_6_12 16 3 1 0 6 12
PAIR p_M_6_12 16 3 1 1 6 12
PAIR p_R_6_12 16 3 1 2 6 12
PAIR p_L_6_13 16 3 1 0 6 13
PAIR p_M_6_13 16 3 1 1 6 13
PAIR p_R_6_13 16 3 1 2 6 13
PAIR p_L_6_14 16 3 1 0 6 14
PAIR p_M_6_14 16 3 1 1 6 14
PAIR p_R_6_14 16 3 1 2 6 14
PAIR p_L_6_15 16 3 1 0 6 15
PAIR p_M_6_15 16 3 1 1 6 15
PAIR p_R_6_15 16 3 1 2 6 15
PAIR p_L_7_0 16 3 1 0 7 0
PAIR p_M_7_0 16 3 1 1 7 0
PAIR p_R_7_0 16 3 1 2 7 0
PAIR p_L_7_1 16 3 1 0 7 1
PAIR p_M_7_1 16 3 1 1 7 1
PAIR p_R_7_1 16 3 1 2 7 1
PAIR p_L_7_2 16 3 1 0 7 2
PAIR p_M_7_2 16 3 1 1 7 2
PAIR p_R_7_2 16 3 1 2 7 2
PAIR p_L_7_3 16 3 1 0 7 3
PAIR p_M_7_3 16 3 1 1 7 3
PAIR p_R_7_3 16 3 1 2 7 3
PAIR p_L_7_4 16 3 1 0 7 4
PAIR p_M_7_4 16 3 1 1 7 4
PAIR p_R_7_4 16 3 1 2 7 4
PAIR p_L_7_5 16 3 1 0 7 5
PAIR p_M_7_5 16 3 1 1 7 5
PAIR p_R_7_5 16 3 1 2 7 5
PAIR p_L_7_6 16 3 1 0 7 6
PAIR p_M_7_6 16 3 1 1 7 6
PAIR p_R_7_6 16 3 1 2 7 6
PAIR p_L_7_7 16 3 1 0 7 7
PAIR p_M_7_7 16 3 1 1 7 7
PAIR p_R_7_7 16 3 1 2 7 7
PAIR p_L_7_8 16 3 1 0 7 8
PAIR p_M_7_8 16 3 1 1 7 8
PAIR p_R_7_8 16 3 1 2 7 8
PAIR p_L_7_9 16 3 1 0 7 9
PAIR p_M_7_9 16 3 1 1 7 9
PAIR p_R_7_9 16 3 1 2 7 9
PAIR p_L_7_10 16 3 1 0 7 10
PAIR p_M_7_10 16 3 1 1 7 10
PAIR p_R_7_10 16 3 1 2 7 10
PAIR p_L_7_11 16 3 1 0 7 11
PAIR p_M_7_11 16 3 1 1 7 11
PAIR p_R_7_11 16 3 1 2 7 11
PAIR p_L_7_12 16 3 1 0 7 12
PAIR p_M_7_12 16 3 1 1 7 12
PAIR p_R_7_12 16 3 1 2 7 12
PAIR p_L_7_13 16 3 1 0 7 13
PAIR p_M_7_13 16 3 1 1 7 13
PAIR p_R_7_13 16 3 1 2 7 13
PAIR p_L_7_14 16 3 1 0 7 14
PAIR p_M_7_14 16 3 1 1 7 14
PAIR p_R_7_14 16 3 1 2 7 14
PAIR p_L_7_15 16 3 1 0 7 15
PAIR p_M_7_15 16 3 1 1 7 15
PAIR p_R_7_15 16 3 1 2 7 15
PAIR p_L_8_0 16 3 1 0 8 0
PAIR p_M_8_0 16 3 1 1 8 0
PAIR p_R_8_0 16 3 1 2 8 0
PAIR p_L_8_1 16 3 1 0 8 1
PAIR p_M_8_1 16 3 1 1 8 1
PAIR p_R_8_1 16 3 1 2 8 1
PAIR p_L_8_2 16 3 1 0 8 2
PAIR p_M_8_2 16 3 1 1 8 2
PAIR p_R_8_2 16 3 1 2 8 2
PAIR p_L_8_3 16 3 1 0 8 3
PAIR p_M_8_3 16 3 1 1 8 3
PAIR p_R_8_3 16 3 1 2 8 3
PAIR p_L_8_4 16 3 1 0 8 4
PAIR p_M_8_4 16 3 1 1 8 4
PAIR p_R_8_4 16 3 1 2 8 4
PAIR p_L_8_5 16 3 1 0 8 5
PAIR p_M_8_5 16 3 1 1 8 5
PAIR p_R_8_5 16 3 1 2 8 5
PAIR p_L_8_6 16 3 1 0 8 6
PAIR p_M_8_6 16 3 1 1 8 6
PAIR p_R_8_6 16 3 1 2 8 6
PAIR p_L_8_7 16 3 1 0 8 7
PAIR p_M_8_7 16 3 1 1 8 7
PAIR p_R_8_7 16 3 1 2 8 7
PAIR p_L_8_8 16 3 1 0 8 8
PAIR p_M_8_8 16 3 1 1 8 8
PAIR p_R_8_8 16 3 1 2 8 8
PAIR p_L_8_9 16 3 1 0 8 9
PAIR p_M_8_9 16 3 1 1 8 9
PAIR p_R_8_9 16 3 1 2 8 9
PAIR p_L_8_10 16 3 1 0 8 10
PAIR p_M_8_10 16 3 1 1 8 10
PAIR p_R_8_10 16 3 1 2 8 10
PAIR p_L_8_11 16 3 1 0 8 11
PAIR p_M_8_11 16 3 1 1 8 11
PAIR p_R_8_11 16 3 1 2 8 11
PAIR p_L_8_12 16 3 1 0 8 12
PAIR p_M_8_12 16 3 1 1 8 12
PAIR p_R_8_12 16 3 1 2 8 12
PAIR p_L_8_13 16 3 1 0 8 13
PAIR p_M_8_13 16 3 1 1 8 13
PAIR p_R_8_13 16 3 1 2 8 13
PAIR p_L_8_14 16 3 1 0 8 14
PAIR p_M_8_14 16 3 1 1 8 14
PAIR p_R_8_14 16 3 1 2 8 14
PAIR p_L_8_15 16 3 1 0 8 15
PAIR p_M_8_15 16 3 1 1 8 15
PAIR p_R_8_15 16 3 1 2 8 15
PAIR p_L_9_0 16 3 1 0 9 0
PAIR p_M_9_0 16 3 1 1 9 0
PAIR p_R_9_0 16 3 1 2 9 0
PAIR p_L_9_1 16 3 1 0 9 1
PAIR p_M_9_1 16 3 1 1 9 1
PAIR p_R_9_1 16 3 1 2 9 1
PAIR p_L_9_2 16 3 1 0 9 2
PAIR p_M_9_2 16 3 1 1 9 2
PAIR p_R_9_2 16 3 1 2 9 2
PAIR p_L_9_3 16 3 1 0 9 3
PAIR p_M_9_3 16 3 1 1 9 3
PAIR p_R_9_3 16 3 1 2 9 3
PAIR p_L_9_4 16 3 1 0 9 4
PAIR p_M_9_4 16 3 1 1 9 4
PAIR p_R_9_4 16 3 1 2 9 4
PAIR p_L_9_5 16 3 1 0 9 5
PAIR p_M_9_5 16 3 1 1 9 5
PAIR p_R_9_5 16 3 1 2 9 5
PAIR p_L_9_6 16 3 1 0 9 6
PAIR p_M_9_6 16 3 1 1 9 6
PAIR p_R_9_6 16 3 1 2 9 6
PAIR p_L_9_7 16 3 1 0 9 7
PAIR p_M_9_7 16 3 1 1 9 7
PAIR p_R_9_7 16 3 1 2 9 7
PAIR p_L_9_8 16 3 1 0 9 8
PAIR p_M_9_8 16 3 1 1 9 8
PAIR p_R_9_8 16 3 1 2 9 8
PAIR p_L_9_9 16 3 1 0 9 9
PAIR p_M_9_9 16 3 1 1 9 9
PAIR p_R_9_9 16 3 1 2 9 9
PAIR p_L_9_10 16 3 1 0 9 10
PAIR p_M_9_10 16 3 1 1 9 10
PAIR p_R_9_10 16 3 1 2 9 10
PAIR p_L_9_11 16 3 1 0 9 11
PAIR p_M_9_11 16 3 1 1 9 11
PAIR p_R_9_11 16 3 1 2 9 11
PAIR p_L_9_12 16 3 1 0 9 12
PAIR p_M_9_12 16 3 1 1 9 12
PAIR p_R_9_12 16 3 1 2 9 12
PAIR p_L_9_13 16 3 1 0 9 13
PAIR p_M_9_13 16 3 1 1 9 13
PAIR p_R_9_13 16 3 1 2 9 13
PAIR p_L_9_14 16 3 1 0 9 14
PAIR p_M_9_14 16 3 1 1 9 14
PAIR p_R_9_14 16 3 1 2 9 14
PAIR p_L_9_15 16 3 1 0 9 15
PAIR p_M_9_15 16 3 1 1 9 15
PAIR p_R_9_15 16 3 1 2 9 15
PAIR p_L_10_0 16 3 1 0 10 0
PAIR p_M_10_0 16 3 1 1 10 0
PAIR p_R_10_0 16 3 1 2 10 0
PAIR p_L_10_1 16 3 1 0 10 1
PAIR p_M_10_1 16 3 1 1 10 1
PAIR p_R_10_1 16 3 1 2 10 1
PAIR p_L_10_2 16 3 1 0 10 2
PAIR p_M_10_2 16 3 1 1 10 2
PAIR p_R_10_2 16 3 1 2 10 2
PAIR p_L_10_3 16 3 1 0 10 3
PAIR p_M_10_3 16 3 1 1 10 3
PAIR p_R_10_3 16 3 1 2 10 3
PAIR p_L_10_4 16 3 1 0 10 4
PAIR p_M_10_4 16 3 1 1 10 4
PAIR p_R_10_4 16 3 1 2 10 4
PAIR p_L_10_5 16 3 1 0 10 5
PAIR p_M_10_5 16 3 1 1 10 5
PAIR p_R_10_5 16 3 1 2 10 5
PAIR p_L_10_6 16 3 1 0 10 6
PAIR p_M_10_6 16 3 1 1 10 6
PAIR p_R_10_6 16 3 1 2 10 6
PAIR p_L_10_7 16 3 1 0 10 7
PAIR p_M_10_7 16 3 1 1 10 7
PAIR p_R_10_7 16 3 1 2 10 7
PAIR p_L_10_8 16 3 1 0 10 8
PAIR p_M_10_8 16 3 1 1 10 8
PAIR p_R_10_8 16 3 1 2 10 8
PAIR p_L_10_9 16 3 1 0 10 9
PAIR p_M_10_9 16 3 1 1 10 9
PAIR p_R_10_9 16 3 1 2 10 9
PAIR p_L_10_10 16 3 1 0 10 10
PAIR p_M_10_10 16 3 1 1 10 10
PAIR p_R_10_10 16 3 1 2 10 10
PAIR p_L_10_11 16 3 1 0 10 11
PAIR p_M_10_11 16 3 1 1 10 11
PAIR p_R_10_11 16 3 1 2 10 11
PAIR p_L_10_12 16 3 1 0 10 12
PAIR p_M_10_12 16 3 1 1 10 12
PAIR p_R_10_12 16 3 1 2 10 12
PAIR p_L_10_13 16 3 1 0 10 13
PAIR p_M_10_13 16 3 1 1 10 13
PAIR p_R_10_13 16 3 1 2 10 13
PAIR p_L_10_14 16 3 1 0 10 14
PAIR p_M_10_14 16 3 1 1 10 14
PAIR p_R_10_14 16 3 1 2 10 14
PAIR p_L_10_15 16 3 1 0 10 15
PAIR p_M_10_15 16 3 1 1 10 15
PAIR p_R_10_15 16 3 1 2 10 15
PAIR p_L_11_0 16 3 1 0 11 0
PAIR p_M_11_0 16 3 1 1 11 0
PAIR p_R_11_0 16 3 1 2 11 0
PAIR p_L_11_1 16 3 1 0 11 1
PAIR p_M_11_1 16 3 1 1 11 1
PAIR p_R_11_1 16 3 1 2 11 1
PAIR p_L_11_2 16 3 1 0 11 2
PAIR p_M_11_2 16 3 1 1 11 2
PAIR p_R_11_2 16 3 1 2 11 2
PAIR p_L_11_3 16 3 1 0 11 3
PAIR p_M_11_3 16 3 1 1 11 3
PAIR p_R_11_3 16 3 1 2 11 3
PAIR p_L_11_4 16 3 1 0 11 4
PAIR p_M_11_4 16 3 1 1 11 4
PAIR p_R_11_4 16 3 1 2 11 4
PAIR p_L_11_5 16 3 1 0 11 5
PAIR p_M_11_5 16 3 1 1 11 5
PAIR p_R_11_5 16 3 1 2 11 5
PAIR p_L_11_6 16 3 1 0 11 6
PAIR p_M_11_6 16 3 1 1 11 6
PAIR p_R_11_6 16 3 1 2 11 6
PAIR p_L_11_7 16 3 1 0 11 7
PAIR p_M_11_7 16 3 1 1 11 7
PAIR p_R_11_7 16 3 1 2 11 7
PAIR p_L_11_8 16 3 1 0 11 8
PAIR p_M_11_8 16 3 1 1 11 8
PAIR p_R_11_8 16 3 1 2 11 8
PAIR p_L_11_9 16 3 1 0 11 9
PAIR p_M_11_9 16 3 1 1 11 9
PAIR p_R_11_9 16 3 1 2 11 9
PAIR p_L_11_10 16 3 1 0 11 10
PAIR p_M_11_10 16 3 1 1 11 10
PAIR p_R_11_10 16 3 1 2 11 10
PAIR p_L_11_11 16 3 1 0 11 11
